Dataset,IPC,Classes,Norm,Full AUC,Rand AUC,Herd AUC,DM AUC,embed_hidden,embed_dim,iters,lr,file
adult,10,-,Unknown,0.8950583662923635,0.7319500058436907,0.8402601537453555,0.821203325438722,256,128,2000,0.05,adult_trueDM_ipc10_BNCascade_h256_e128_it2000_lr0.05_20251208-230353.json
adult,10,-,Unknown,0.8950583662923635,0.7319500058436907,0.8402625587669587,0.8237100231680337,256,128,2000,0.05,adult_trueDM_ipc10_BNDeep_h256_e128_it2000_lr0.05_20251208-230240.json
adult,10,-,Unknown,0.8950583662923635,0.7319500058436907,0.8402703367091648,0.8396482548446857,256,128,2000,0.05,adult_trueDM_ipc10_BNRes_h256_e128_it2000_lr0.05_20251208-230330.json
adult,10,-,Unknown,0.8950583662923635,0.7319500058436907,0.8402709507572339,0.8216946150645231,256,128,2000,0.05,adult_trueDM_ipc10_BNWide_h256_e128_it2000_lr0.05_20251208-230307.json
adult,10,-,Unknown,0.8950583662923635,0.7319500058436907,0.8402624052549416,0.8288898256533318,256,128,2000,0.05,adult_trueDM_ipc10_BN_h256_e128_it2000_lr0.05_20251208-230219.json
adult,10,-,Unknown,0.8950583662923635,0.7319500058436907,0.8402668059327686,0.8430803230138463,256,128,2000,0.05,adult_trueDM_ipc10_LN_h256_e128_it2000_lr0.05_20251208-230200.json
airlines,10,-,Unknown,0.7006357308853287,0.5261570557022761,0.6513480651890261,0.4913057541237995,256,128,2000,0.05,airlines_trueDM_ipc10_BNCascade_h256_e128_it2000_lr0.05_20251208-233707.json
airlines,10,-,Unknown,0.7006357308853287,0.5261570557022761,0.6513479455261392,0.498597356784736,256,128,2000,0.05,airlines_trueDM_ipc10_BNDeep_h256_e128_it2000_lr0.05_20251208-233016.json
airlines,10,-,Unknown,0.7006357308853287,0.5261570557022761,0.6513502503508379,0.5959881134123656,256,128,2000,0.05,airlines_trueDM_ipc10_BNRes_h256_e128_it2000_lr0.05_20251208-233452.json
airlines,10,-,Unknown,0.7006357308853287,0.5261570557022761,0.6513524389139205,0.49568594266946764,256,128,2000,0.05,airlines_trueDM_ipc10_BNWide_h256_e128_it2000_lr0.05_20251208-233234.json
airlines,10,-,Unknown,0.7006357308853287,0.5261570557022761,0.6513481771217522,0.5337179276871548,256,128,2000,0.05,airlines_trueDM_ipc10_BN_h256_e128_it2000_lr0.05_20251208-232758.json
airlines,10,-,Unknown,0.7006357308853287,0.5261570557022761,0.6513481257934854,0.6018786362057275,256,128,2000,0.05,airlines_trueDM_ipc10_LN_h256_e128_it2000_lr0.05_20251208-232541.json
bank,10,-,Unknown,0.9151454000261511,0.6921923063236783,0.846062463823441,0.6687205231448913,256,128,2000,0.05,bank_trueDM_ipc10_BNCascade_h256_e128_it2000_lr0.05_20251208-230552.json
bank,10,-,Unknown,0.9151454000261511,0.6921923063236783,0.8460545678847539,0.6758504505001498,256,128,2000,0.05,bank_trueDM_ipc10_BNDeep_h256_e128_it2000_lr0.05_20251208-230448.json
bank,10,-,Unknown,0.9151454000261511,0.6921923063236783,0.8460670961074707,0.8025465770895234,256,128,2000,0.05,bank_trueDM_ipc10_BNRes_h256_e128_it2000_lr0.05_20251208-230532.json
bank,10,-,Unknown,0.9151454000261511,0.6921923063236783,0.8460753078837053,0.6761627085554286,256,128,2000,0.05,bank_trueDM_ipc10_BNWide_h256_e128_it2000_lr0.05_20251208-230511.json
bank,10,-,Unknown,0.9151454000261511,0.6921923063236783,0.8460531992553814,0.7100057545601152,256,128,2000,0.05,bank_trueDM_ipc10_BN_h256_e128_it2000_lr0.05_20251208-230428.json
bank,10,-,Unknown,0.9151454000261511,0.6921923063236783,0.8460689911327556,0.8117417661677767,256,128,2000,0.05,bank_trueDM_ipc10_LN_h256_e128_it2000_lr0.05_20251208-230411.json
covertype,10,-,Unknown,0.9900839471908116,0.7322837040521181,0.8237725303912493,0.7840978698015684,256,128,2000,0.05,covertype_trueDM_ipc10_BNCascade_h256_e128_it2000_lr0.05_20251208-232311.json
covertype,10,-,Unknown,0.9900839471908116,0.7322837040521181,0.8236430402610748,0.7866837153810371,256,128,2000,0.05,covertype_trueDM_ipc10_BNDeep_h256_e128_it2000_lr0.05_20251208-231526.json
covertype,10,-,Unknown,0.9900839471908116,0.7322837040521181,0.823773628728228,0.82295155828007,256,128,2000,0.05,covertype_trueDM_ipc10_BNRes_h256_e128_it2000_lr0.05_20251208-232041.json
covertype,10,-,Unknown,0.9900839471908116,0.7322837040521181,0.8236126453018383,0.7866992899669984,256,128,2000,0.05,covertype_trueDM_ipc10_BNWide_h256_e128_it2000_lr0.05_20251208-231809.json
covertype,10,-,Unknown,0.9900839471908116,0.7322837040521181,0.8237612416280881,0.7969035257014235,256,128,2000,0.05,covertype_trueDM_ipc10_BN_h256_e128_it2000_lr0.05_20251208-231253.json
covertype,10,-,Unknown,0.9900839471908116,0.7322837040521181,0.8237584737880107,0.8175366672993479,256,128,2000,0.05,covertype_trueDM_ipc10_LN_h256_e128_it2000_lr0.05_20251208-231005.json
credit,10,-,Unknown,0.7703164255194292,0.6701400350259485,0.692166210504117,0.6306081919000202,256,128,2000,0.05,credit_trueDM_ipc10_BNCascade_h256_e128_it2000_lr0.05_20251208-230726.json
credit,10,-,Unknown,0.7703164255194292,0.6701400350259485,0.6921387032146853,0.6336808420898203,256,128,2000,0.05,credit_trueDM_ipc10_BNDeep_h256_e128_it2000_lr0.05_20251208-230632.json
credit,10,-,Unknown,0.7703164255194292,0.6701400350259485,0.6921067546441475,0.6965218178650676,256,128,2000,0.05,credit_trueDM_ipc10_BNRes_h256_e128_it2000_lr0.05_20251208-230710.json
credit,10,-,Unknown,0.7703164255194292,0.6701400350259485,0.6921664970383818,0.6335125032091838,256,128,2000,0.05,credit_trueDM_ipc10_BNWide_h256_e128_it2000_lr0.05_20251208-230652.json
credit,10,-,Unknown,0.7703164255194292,0.6701400350259485,0.6921716546551504,0.657192554464433,256,128,2000,0.05,credit_trueDM_ipc10_BN_h256_e128_it2000_lr0.05_20251208-230618.json
