dataset,K_means_50,K_means_25,K_means_10,K_means_5,Coreset_50,Coreset_25,Coreset_10,Coreset_5,CTgan_50,CTgan_25,CTgan_10,CTgan_5,TVAE_50,TVAE_25,TVAE_10,TVAE_5,Gauss_cop_50,Gauss_cop_25,Gauss_cop_10,Gauss_cop_5
phishing_websites,0.9091,0.9086,0.9132,0.9073,0.9579,0.9516,0.9299,0.9276,0.8924,0.8946,0.9005,0.8783,0.8969,0.9046,0.8996,0.8951,nan,nan,nan,nan
hotel_bookings,120937.6131,120153.3962,118853.1722,120555.4675,25363.1285,31255.4392,36882.3491,41198.1596,31178.1466,35200.317,38461.9339,42374.0263,30204.098,37631.1136,39779.9199,42111.9537,38649.606,42054.4667,46108.8893,48307.8712
NATICUSdroid,0.8858,0.8872,0.8865,0.8872,0.9673,0.9656,0.964,0.9235,0.9158,0.8943,0.9311,0.871,0.9613,0.9524,0.9538,0.9458,0.9076,0.9083,0.904,0.9127
Online_News_Popularity,949938828.2859,1117507297.2472,1288444168.5416,1413433851.8016,123320717.543,122937016.8099,122434201.8848,122422478.2334,125808698.0677,123501580.3987,124904112.7967,121428864.8769,125733182.5403,125467774.0595,125709796.7025,125469483.518,121860206.8411,121805828.5925,121821929.7098,121961024.2467
mushroom,0.7711,0.792,0.7969,0.7772,1.0,1.0,1.0,0.9975,0.8942,0.8997,0.9003,0.8911,0.9889,0.976,0.9618,0.9582,0.8234,0.8166,0.7668,0.7557
Power_Consumption_Tetouan,nan,nan,nan,nan,nan,nan,nan,nan,50533151.9999,50501797.61,50946129.8827,50647454.0823,51409132.1189,50501708.2618,50606911.6649,51426947.4228,50607127.2645,50666833.6196,50529248.8904,50538967.7803
stroke_prediction,0.4853,0.4853,0.9393,0.9393,0.9393,0.9393,0.9393,0.9393,0.9393,0.9393,0.9393,0.9393,0.9393,0.9393,nan,0.9393,0.9393,0.9393,0.9393,0.9393
red_wine,0.4062,0.4062,0.4062,0.4062,0.5563,0.5437,nan,nan,0.4281,0.4625,0.4625,0.5062,nan,nan,nan,nan,0.4125,0.4344,nan,nan
heart,0.6576,0.6304,0.625,0.625,0.7446,0.7391,0.7337,0.7174,0.5109,0.6848,0.5543,0.5543,0.7826,0.7554,0.7609,0.75,0.7011,0.6576,0.712,0.5761
credit_card_fraud,0.4877,0.4877,0.4877,0.4877,0.9987,0.9986,0.9985,0.9983,0.9983,0.9983,0.9983,0.9983,0.9983,nan,0.9983,nan,0.9983,0.9983,0.9983,0.9983
Bank_Marketing,0.8794,0.5335,0.5335,0.5329,0.8825,0.8821,0.8802,0.8799,0.8796,0.8796,0.8794,0.8794,0.8794,0.8794,0.8794,0.8794,0.8794,0.8794,0.8794,0.8794
adult,0.6045,0.2407,0.2407,0.2407,0.7815,0.7763,0.7745,0.7632,0.7751,0.7688,0.7692,0.7593,0.7728,0.7708,0.7714,0.7593,0.7611,0.7594,0.7593,0.7593
stroke,0.9511,0.9511,0.9511,0.1634,0.9511,0.9511,0.9511,0.9511,0.9511,0.9511,0.9511,0.9511,0.9511,0.9511,nan,nan,0.9511,0.9511,0.9511,0.9511
Connect-4,0.6569,0.6569,0.6569,0.6569,0.8016,0.772,0.7348,0.7086,0.6059,0.6575,0.6569,0.6587,0.7157,0.7059,0.683,0.6764,0.6569,0.657,0.657,0.657
heart_failure,0.4333,0.6,0.5833,0.5833,0.6167,0.6333,0.6167,0.6,0.5833,0.5833,0.5833,0.5833,0.5833,0.5833,0.5833,0.5833,0.5833,0.5833,0.5833,0.5833
telco_churn,0.7346,0.7346,0.7346,0.7346,0.7346,0.7346,0.7346,0.7346,0.7346,0.7346,0.7346,0.7346,0.7346,0.7346,0.7346,0.7346,0.7346,0.7346,0.7346,0.7346
mobile_price,0.475,0.48,0.535,0.47,0.535,0.535,0.465,0.535,0.465,0.465,0.465,0.465,0.535,0.465,0.535,0.535,0.62,0.535,0.535,0.535
crop_recommendation,0.9136,0.9091,0.9114,0.9205,0.9841,0.9818,0.9795,0.9318,0.0523,0.0614,nan,nan,0.3068,0.3341,0.1568,nan,0.1295,0.0455,0.1045,nan
diabetes,0.6494,0.6494,0.6494,0.5909,0.7208,0.7078,0.7078,0.7208,0.6494,0.6494,0.6623,0.5909,0.7143,0.6818,0.6753,0.6753,0.6623,0.6753,0.6623,0.6883
Beijing_PM25,6284.8547,6663.5051,6928.1498,7138.7365,6264.1399,6837.9041,7743.4261,7950.4869,8261.0124,7781.2329,8135.2111,8186.7395,7992.5828,8599.4563,8562.0612,8614.5863,7993.9965,7999.3643,7989.0083,8001.6619
insurance_cost,nan,nan,nan,nan,159583741.5559,159822010.631,168167438.0258,172089454.3278,170153270.2931,195696158.0207,221951839.6165,nan,167696141.945,162372160.7083,170436259.747,165543498.3255,146828907.1914,152304926.3232,157526849.6912,162993981.8454
Pima_Indians_Diabetes,0.6688,0.6818,0.6818,0.6623,0.7597,0.7532,0.7273,0.7403,0.6429,0.6688,0.6558,0.6818,0.7792,0.7468,0.6948,0.7273,0.7078,0.7013,0.7338,0.7208
titanic,0.7405,0.7405,0.7405,0.7405,0.7481,0.7405,0.7405,0.7405,0.7405,0.7405,0.7405,0.7405,0.7405,0.7405,0.7405,0.7405,0.7405,0.7405,0.7405,0.7405
