dataset,K_means_50,K_means_25,K_means_10,K_means_5,Coreset_50,Coreset_25,Coreset_10,Coreset_5,CTgan_50,CTgan_25,CTgan_10,CTgan_5,TVAE_50,TVAE_25,TVAE_10,TVAE_5,Gauss_cop_50,Gauss_cop_25,Gauss_cop_10,Gauss_cop_5
phishing_websites,0.9086,0.9091,0.915,0.9014,0.9362,0.9335,0.9294,0.9127,0.8838,0.9032,0.8937,0.8942,0.882,0.8797,0.8937,0.8937,nan,nan,nan,nan
hotel_bookings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NATICUSdroid,0.8849,0.889,0.8853,0.8756,0.9088,0.9223,0.8889,0.8812,0.9023,0.8582,0.8432,0.8463,0.9497,0.9419,0.9322,0.9286,0.8924,0.8831,0.8885,0.8759
Online_News_Popularity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mushroom,0.7655,0.7557,0.7557,0.7557,0.9975,0.9969,0.9932,0.9434,0.9046,0.8572,0.8806,0.8782,0.9932,0.9748,0.9815,0.9502,0.7926,0.7852,0.7582,0.7335
Power_Consumption_Tetouan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stroke_prediction,0.4883,0.4883,0.4883,0.4883,0.9393,0.9393,0.9393,0.9393,0.9393,0.9393,0.9393,0.9393,0.9393,0.9393,nan,0.9393,0.9393,0.9393,0.9393,0.9393
red_wine,0.2625,0.2687,0.3,0.3094,0.5875,0.525,nan,nan,0.2969,0.2188,0.4125,0.3156,nan,nan,nan,nan,0.3281,0.4188,nan,nan
heart,0.5543,0.5217,0.5543,0.4457,0.7663,0.7609,0.7609,0.5543,0.462,0.5924,0.3152,0.5543,0.7609,0.7609,0.6957,0.5543,0.663,0.5924,0.6522,0.4457
credit_card_fraud,0.4873,0.4891,0.4878,0.4865,0.9992,0.9992,0.9988,0.9983,0.9888,0.9869,0.9884,0.9868,0.9983,nan,0.9983,nan,0.9983,0.9983,0.9983,0.9983
Bank_Marketing,0.5316,0.5319,0.5323,0.5268,0.8902,0.8897,0.89,0.8885,0.8787,0.8801,0.8848,0.8806,0.8846,0.8869,0.8847,0.8861,0.8794,0.8794,0.8794,0.8794
adult,0.2407,0.2407,0.2407,0.2407,0.8096,0.8015,0.7741,0.7672,0.8176,0.7887,0.7843,0.8108,0.7605,0.8024,0.7858,0.7936,0.7593,0.7593,0.7593,0.7594
stroke,0.0489,0.0489,0.0489,0.0489,0.9511,0.9511,0.9511,0.9511,0.9511,0.9511,0.9511,0.9511,0.9511,0.9511,nan,nan,0.9511,0.9511,0.9511,0.9511
Connect-4,0.4292,0.4254,0.4275,0.45,0.7062,0.708,0.6996,0.6994,0.5685,0.6591,0.6471,0.6047,0.6744,0.6737,0.6633,0.6647,0.6573,0.6569,0.6567,0.6563
heart_failure,0.5,0.5,0.5833,0.5833,0.75,0.6667,0.5833,0.5833,0.55,0.5833,0.5833,0.5833,0.5833,0.5833,0.5833,0.5833,0.6333,0.5833,0.5833,0.5833
telco_churn,0.3343,0.3322,0.2654,0.2654,0.7793,0.7729,0.7445,0.7679,0.7346,0.7516,0.7346,0.7346,0.77,0.77,0.7537,0.7424,0.7346,0.7346,0.7346,0.7346
mobile_price,0.505,0.565,0.565,0.465,0.5,0.47,0.445,0.49,0.485,0.495,0.47,0.465,0.5,0.55,0.495,0.535,0.51,0.48,0.485,0.535
crop_recommendation,0.8818,0.7909,0.4341,0.0455,0.9705,0.7159,0.4409,0.1045,0.0045,0.0091,nan,nan,0.1682,0.2477,0.1364,nan,0.0727,0.0545,0.0705,nan
diabetes,0.5584,0.5584,0.5455,0.3506,0.7662,0.7273,0.7273,0.3506,0.5714,0.6364,0.6494,0.3506,0.6948,0.6818,0.6494,0.6494,0.6753,0.6883,0.6039,0.6494
Beijing_PM25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
insurance_cost,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pima_Indians_Diabetes,0.6623,0.6623,0.6623,0.3571,0.7987,0.7597,0.7597,0.3571,0.5779,0.6364,0.6818,0.6429,0.7532,0.7403,0.6429,0.6429,0.6688,0.6883,0.6429,0.6429
titanic,0.6603,0.6603,0.6603,0.6641,0.8321,0.855,0.8359,0.7405,0.7405,0.7405,0.7405,0.7405,0.7405,0.7405,0.7405,0.7405,0.7405,0.7405,0.7405,0.7405
