dataset,RF_acc,RF_wacc,SVM_acc,SVM_wacc,XGB_acc,XGB_wacc
red_wine,68.75,68.75,56.25,56.25,70.31,70.31
NATICUSdroid,97.14,97.14,97.0,97.0,97.12,97.12
titanic,89.31,89.31,75.57,75.57,89.69,89.69
telco_churn,78.92,78.92,73.53,73.53,79.42,79.42
stroke_prediction,93.93,93.93,93.93,93.93,94.03,94.03
stroke,95.11,95.11,95.11,95.11,95.11,95.11
Pima_Indians_Diabetes,79.22,79.22,75.97,75.97,78.57,78.57
mushroom_,100.0,100.0,100.0,100.0,100.0,100.0
mobile_price,53.5,53.5,53.5,53.5,57.0,57.0
heart_failure,76.67,76.67,61.67,61.67,80.0,80.0
heart,89.13,89.13,78.26,78.26,86.41,86.41
diabetes,77.27,77.27,72.73,72.73,78.57,78.57
crop_recommendation,99.55,99.55,98.64,98.64,98.86,98.86
credit_card_fraud,99.96,99.96,99.87,99.87,99.96,99.96
Connect-4,81.09,81.09,82.27,82.27,84.29,84.29
Bank_Marketing,89.38,89.38,88.27,88.27,89.57,89.57
adult,84.0,84.0,78.17,78.17,84.09,84.09
